epoch,loss
1,995019.8717116800835
2,975286.4314567988040
3,953766.8640900853788
4,931848.1901598854456
5,909471.5966035309248
6,886119.4013796328800
7,861598.1761479889974
8,835626.8464610370575
9,808092.3696071553277
10,779583.1302832339425
11,750822.7267990763066
12,721747.8824717935640
13,692809.5943893955555
14,664223.1466298374580
15,636552.9986042908859
16,610256.3952231672592
17,585765.3312671723543
18,563292.3169045217801
19,543031.4569485853426
20,525100.5231552525656
21,510226.6954074958921
22,498287.7053500964539
23,489144.1066009367933
24,482221.0720891061355
25,477204.6217820136226
26,473563.8881825090502
27,470936.3741724395077
28,469119.9394355416298
29,467779.0385893473285
30,466921.0779423155473
31,466297.3189314056654
32,465905.6154638723237
33,465637.8907839354360
34,465566.8670669282437
35,465234.1803707397776
36,465178.1701879092143
37,465094.3879039153107
38,465098.3401392420637
39,465102.7624325894285
40,464954.7932249649311
41,465006.8979405983118
42,464917.7200114360312
43,464932.4289257058990
44,464951.5642976148520
45,464942.2077852800139
46,464904.1459274158115
47,464919.0338770022499
48,464950.6255736291641
49,464911.0392113878042
50,465032.2067914766958
51,464862.4399835949298
52,464920.2508147726185
53,464894.7078318645363
54,464936.6937669896288
55,464964.4269152636407
56,464920.0520687185926
57,464931.2270886311890
58,465000.1645831506466
59,464881.5021410615882
60,464924.1241331623169
61,464838.0432185709942
62,464885.5977443952579
63,464959.9579177262494
64,464933.0913047688082
65,464945.2621366406674
66,464848.0492562916479
67,464927.4237420349382
68,465026.4089911800111
69,464937.6647192505770
